table_schema,table_name
public,sentry_teamreplica
public,sentry_timeseriessnapshot
public,sentry_useravatar
public,sentry_useremail
public,sentry_userip
public,sentry_useroption
public,sentry_userpermission
public,sentry_userreport
public,sentry_userrole
public,sentry_userrole_users
public,social_auth_usersocialauth
public,tempest_tempestcredentials
public,uptime_projectuptimesubscription
public,uptime_uptimesubscription
public,uptime_uptimesubscriptionregion
public,workflow_engine_action
public,workflow_engine_actionalertruletriggeraction
public,workflow_engine_actiongroupstatus
public,workflow_engine_alertruledetector
public,workflow_engine_alertruleworkflow
public,workflow_engine_datacondition
public,workflow_engine_dataconditiongroup
public,workflow_engine_dataconditiongroupaction
public,workflow_engine_datasource
public,workflow_engine_datasourcedetector
public,workflow_engine_detector
public,workflow_engine_detectorstate
public,workflow_engine_detectorworkflow
public,workflow_engine_workflow
public,workflow_engine_workflowaction
public,workflow_engine_workflowdataconditiongroup
