schemaname,tablename,tableowner
public,sentry_projecttemplate,postgres
public,sentry_projecttemplateoption,postgres
public,sentry_projecttransactionthreshold,postgres
public,sentry_projecttransactionthresholdoverride,postgres
public,sentry_promptsactivity,postgres
public,sentry_pull_request,postgres
public,sentry_pullrequest_comment,postgres
public,sentry_pullrequest_commit,postgres
public,sentry_querysubscription,postgres
public,sentry_recentsearch,postgres
public,sentry_regionimportchunk,postgres
public,sentry_regionoutbox,postgres
public,sentry_regionrelocationtransfer,postgres
public,sentry_regionscheduleddeletion,postgres
public,sentry_regiontombstone,postgres
public,sentry_regressiongroup,postgres
public,sentry_relay,postgres
public,sentry_relayusage,postgres
public,sentry_release,postgres
public,sentry_release_project,postgres
public,sentry_releaseactivity,postgres
public,sentry_releaseartifactbundle,postgres
public,sentry_releasecommit,postgres
public,sentry_releasefile,postgres
public,sentry_releaseheadcommit,postgres
public,sentry_releaseprojectenvironment,postgres
public,sentry_releasethreshold,postgres
public,sentry_relocation,postgres
public,sentry_relocationfile,postgres
public,sentry_relocationvalidation,postgres
public,sentry_relocationvalidationattempt,postgres
public,sentry_repository,postgres
public,sentry_repositoryprojectpathconfig,postgres
public,sentry_rollbackorganization,postgres
public,sentry_rollbackuser,postgres
public,sentry_rule,postgres
public,sentry_ruleactivity,postgres
public,sentry_rulefirehistory,postgres
public,sentry_rulesnooze,postgres
public,sentry_savedsearch,postgres
public,sentry_scheduleddeletion,postgres
public,sentry_scheduledjob,postgres
public,sentry_sentryapp,postgres
public,sentry_sentryappavatar,postgres
public,sentry_sentryappcomponent,postgres
public,sentry_sentryappinstallation,postgres
public,sentry_sentryappinstallationforprovider,postgres
public,sentry_sentryappinstallationtoken,postgres
public,sentry_sentryshot,postgres
public,sentry_servicehook,postgres
public,sentry_servicehookproject,postgres
public,sentry_snubaquery,postgres
public,sentry_snubaqueryeventtype,postgres
public,sentry_stringindexer,postgres
public,sentry_team,postgres
public,sentry_teamreplica,postgres
public,sentry_timeseriessnapshot,postgres
public,sentry_useravatar,postgres
public,sentry_useremail,postgres
public,sentry_userip,postgres
public,sentry_useroption,postgres
public,sentry_userpermission,postgres
public,sentry_userreport,postgres
public,sentry_userrole,postgres
public,sentry_userrole_users,postgres
public,social_auth_usersocialauth,postgres
public,tempest_tempestcredentials,postgres
public,uptime_projectuptimesubscription,postgres
public,uptime_uptimesubscription,postgres
public,uptime_uptimesubscriptionregion,postgres
public,userinfo,postgres
public,workflow_engine_action,postgres
public,workflow_engine_actionalertruletriggeraction,postgres
public,workflow_engine_actiongroupstatus,postgres
public,workflow_engine_alertruledetector,postgres
public,workflow_engine_alertruleworkflow,postgres
public,workflow_engine_datacondition,postgres
public,workflow_engine_dataconditiongroup,postgres
public,workflow_engine_dataconditiongroupaction,postgres
public,workflow_engine_datasource,postgres
public,workflow_engine_datasourcedetector,postgres
public,workflow_engine_detector,postgres
public,workflow_engine_detectorstate,postgres
public,workflow_engine_detectorworkflow,postgres
public,workflow_engine_workflow,postgres
public,workflow_engine_workflowaction,postgres
public,workflow_engine_workflowdataconditiongroup,postgres
